label,ccode,region,pop,qu,de,ar,aq,lng,lat,arid,capacity,delivery
Zhutan,CHN,2,50,2,3,2,1,114.167,28.05,1.566,2.25,954
Ottappalam,IND,2,59,3,3,3,1,76.383,10.767,1.566,3.52,926
Gunan,CHN,2,69,3,3,3,1,116.867,29.095,1.567,4.2,910
Tongyong,KOR,2,82,2,1,1,1,128.423,34.844,1.57,2.26,24692
Changsheng,CHN,2,63,3,3,3,1,116.027,26.282,1.57,2.8,1387
Lianzhou,CHN,2,160,3,3,3,1,112.379,24.775,1.575,2.97,1099
Enshi,CHN,2,170,3,4,3,1,109.483,30.292,1.575,3.16,865
Iwaki,JPN,2,881,2,1,1,1,140.659,36.652,1.575,1.72,26718
Nanping,CHN,2,333,3,3,3,1,118.162,26.642,1.576,2.52,1713
Raobu,CHN,2,62,2,3,2,1,116.953,28.869,1.579,2.47,953
Shanwei,CHN,2,501,3,3,3,1,115.4,22.741,1.58,2.86,1105
Pyay,MMR,2,128,2,4,3,1,95.122,18.779,1.581,1.18,200
Kaiping,CHN,2,329,3,3,3,1,112.679,22.367,1.581,3.36,1105
Zhangjiajie,CHN,2,190,4,3,3,1,110.409,29.28,1.581,9.24,950
Lingxi,CHN,2,55,2,3,2,1,109.85,28.996,1.582,2.15,914
Yesanguan,CHN,2,51,2,4,3,1,110.333,30.6,1.583,2.21,872
Daping,CHN,2,51,3,3,3,1,113.697,25.465,1.584,3.09,1032
Minan,CHN,2,88,2,3,2,1,109.429,29.484,1.585,1.87,914
Caojia,CHN,2,51,3,3,3,1,111.611,27.975,1.585,3.41,964
Shuishi,CHN,2,56,2,3,2,1,111.892,25.453,1.586,2.41,947
Namwon,KOR,2,56,2,1,1,1,127.392,35.413,1.587,1.46,18029
Chumen,CHN,2,65,3,3,3,1,121.3,28.229,1.588,4.48,2657
Jinshi,CHN,2,116,2,3,2,1,110.818,26.437,1.589,2.42,952
Liyuan,CHN,2,54,3,3,3,1,110.171,29.4,1.589,2.85,950
Hetian,CHN,2,83,3,3,3,1,115.667,23.304,1.59,3,1105
Yamagata,JPN,2,337,2,1,1,1,140.35,38.325,1.592,1.61,25131
Junxi,CHN,2,71,2,3,2,1,117.85,25.684,1.592,1.84,1839
Longyan,CHN,2,409,3,3,3,1,117.025,25.092,1.593,3.49,1334
Longxian,CHN,2,74,2,3,2,1,114.142,24.354,1.594,2.2,1074
Palghar,IND,2,112,2,3,2,1,72.746,19.7,1.595,1.49,1244
Yongan,CHN,2,191,2,3,2,1,117.354,25.988,1.595,1.53,1839
Haiyang,CHN,2,55,2,3,2,1,118.183,29.788,1.596,1.82,1933
Huaping,CHN,2,53,3,4,3,1,110,30.45,1.596,3.31,869
Meilong,CHN,2,91,2,3,2,1,115.117,22.824,1.598,1.61,1567
Shangrao,CHN,2,456,3,4,3,1,117.971,28.45,1.598,5.13,496
Yueping,CHN,2,233,3,3,3,1,117.096,28.971,1.599,3.77,991
Qingtangpu,CHN,2,52,3,3,3,1,111.751,28.056,1.599,4,1529
Wucun,CHN,2,57,3,3,3,1,118.284,28.488,1.599,3.15,2132
Yongfeng,CHN,2,101,3,3,3,1,118.196,28.442,1.599,3.66,2132
Emeishan,CHN,2,129,3,3,3,1,103.492,29.542,1.601,3.25,950
Baijiaping,CHN,2,73,2,3,2,1,111.962,25.858,1.603,1.73,956
Diancheng,CHN,2,193,4,3,3,1,111.291,21.515,1.603,7.53,1105
Huzhen,CHN,2,55,2,2,2,1,120.262,28.813,1.606,2.33,3509
Tebingtinggi,IDN,2,120,2,3,2,1,99.167,3.342,1.606,1.53,1659
Meijiang,CHN,2,110,3,3,3,1,116.021,26.471,1.606,2.8,1387
Bacolod,PHL,2,576,3,3,3,1,122.965,10.563,1.607,3.05,1234
Jiangshan,CHN,2,194,2,3,2,1,118.612,28.721,1.607,2.48,2132
Shouyan,CHN,2,57,3,3,3,1,111.487,25.584,1.607,4.56,947
Taebaek,KOR,2,51,1,1,1,1,129.008,37.154,1.608,0.83,16259
Banjarbaru,IDN,2,149,2,3,2,1,114.804,-3.441,1.61,1.9,1344
Jianchang,CHN,2,51,2,3,2,1,116.646,27.563,1.611,2.39,959
Heyuan,CHN,2,217,2,3,2,1,114.717,23.786,1.612,1.86,1105
Jian'ou,CHN,2,155,3,3,3,1,118.325,27.046,1.612,3.13,1933
Shalang,CHN,2,81,3,3,3,1,111.225,21.779,1.614,4.06,1105
Rucheng,CHN,2,53,2,3,2,1,113.279,24.784,1.615,1.92,1775
